Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/numericalintegralfunction?lower=0&upper=3.14&n=1000,10042,0,34,39.345426657338436,22.84505999978137,359.7206089998508,34.0,55.955851547079455,0.0,34,37,39,41,48,58,80,250,350,360,360
,Aggregated,10042,0,34,39.345426657338436,22.84505999978137,359.7206089998508,34.0,55.955851547079455,0.0,34,37,39,41,48,58,80,250,350,360,360
