Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,1069,328,17000.0,14947.717077362006,17.83199999772478,49570.19470000523,244.96538821328343,5.985741011115967,1.836597803223608,17000,18000,18000,18000,36000,36000,37000,46000,49000,50000,50000
,Aggregated,1069,328,17000.0,14947.717077362006,17.83199999772478,49570.19470000523,244.96538821328343,5.985741011115967,1.836597803223608,17000,18000,18000,18000,36000,36000,37000,46000,49000,50000,50000
