Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/numericalintegralservice/0/3.14159,2472,0,7200.0,7084.266849181248,336.0679570000684,9220.231497999976,462.0,13.789736284380917,0.0,7200,7300,7300,7400,7500,7600,7700,7800,8300,9200,9200
,Aggregated,2472,0,7200.0,7084.266849181248,336.0679570000684,9220.231497999976,462.0,13.789736284380917,0.0,7200,7300,7300,7400,7500,7600,7700,7800,8300,9200,9200
